Volcano,number_of_samples,effusive_regression_a,effusive_regression_b,effusive_regression_SampleNumber,bulk_pyroclastic_regression_a,bulk_pyroclastic_regression_b,bulk_pyroclastic_regression_SampleNumber,fit_case,R2_effusive_regression,RMSE_effusive_regression,R2_bulk_pyroclastic_regression,RMSE_bulk_pyroclastic_regression,R2_effusive_to_bulk_pyroclastic_regression,RMSE_effusive_to_bulk_pyroclastic_regression,R2_bulk_pyroclastic_to_effusive_regression,RMSE_bulk_pyroclastic_to_effusive_regression,joint_regression_a,joint_regression_b,joint_regression_SampleNumber,Latitude,Longitude,Color
Llaima,1412.0,-3.069,0.071,63.0,-3.069,0.071,137.0,Case 7,0.5282936648735992,0.5151197902604312,0.9251803066735949,1.072396845454282,-0.28690909413212595,0.14935574186268186,0.703002650527241,0.17627300379045974,-2.5,0.059000000000000004,200.0,-38.7,-71.73,#ffa500
Sollipulli,70.0,-1.0,-1.0,-1.0,-3.069,0.071,6.0,Case 5,-1.0,-1.0,0.9834949694939964,0.11608758401922545,-1.0,-1.0,-1.0,-1.0,,,,-38.97,-71.52,#8b4513
Caburga-Huelemolle,134.0,-11.452,0.24,25.0,-11.452,0.24,3.0,Case 8.1,0.4117228750425325,0.6134152051583296,0.09120769250744197,3.2797872936482984e-05,-0.7677067219367659,0.2715322324145387,-533.0395347550772,0.08015241190488215,-10.825,0.22699999999999998,28.0,-39.26,-71.7,#663399
Villarrica,859.0,-3.675,0.08199999999999999,20.0,-3.675,0.08199999999999999,60.0,Case 2,0.7730002369964746,0.05849932596437541,0.8069072975527551,0.16016111025914645,0.6489585505618649,0.06725536452038597,0.1901235797272992,0.10581064385439416,-2.311,0.055999999999999994,80.0,-39.42,-71.94,#a52a2a
Quetrupillán,1205.0,-7.067,0.155,55.0,-7.067,0.155,6.0,Case 1,0.93073445456594,0.9534709216803364,0.9993505874013476,0.003291678743465445,0.812613823709982,0.21656213636647886,0.9775202300599422,0.13780617314070112,-6.756,0.15,61.0,-39.5,-71.71,#ff0000
Lanín,81.0,-6.265,0.142,34.0,-6.265,0.142,3.0,Case 2,0.8716124688489889,1.8959109714951767,0.7887691734750955,0.008534854072483795,0.5893116808957001,0.4223419910046235,-0.6172485154763845,0.14758667685466142,-6.394,0.145,37.0,-39.64,-71.5,#feb209
Huanquihue Group,176.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Case 0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,-39.88,-71.58,#ff1493
Mocho-Choshuenco,2659.0,-1.0,-1.0,-1.0,-6.265,0.142,121.0,Case 8.2,-1.0,-1.0,0.8572597452977867,2.903823055253365,-1.0,-1.0,-1.0,-1.0,,,,-39.91,-72.04,#ff69b4
Carrán-Los Venados,155.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Case 0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,-40.31,-72.07,#9400d3
Puyehue-Cordón Caulle,1573.0,-5.231,0.114,55.0,-5.231,0.114,35.0,Case 1,0.9816871597960236,0.7309568291608861,0.9755648397020454,0.14697743392081766,0.9732063648595792,0.13944485206307902,0.966526725459134,0.07584602271295136,-5.319,0.115,90.0,-40.59,-72.11,#ffd700
Antillanca-Casablanca,116.0,-1.0,-1.0,-1.0,-5.231,0.114,13.0,Case 5,-1.0,-1.0,0.9458730026686152,0.32691628997226874,-1.0,-1.0,-1.0,-1.0,,,,-40.75,-72.17,#fe4b03
Osorno,96.0,-4.487,0.095,27.0,-1.0,-1.0,-1.0,Case 4,0.9673498657881,0.1163306577732058,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,-41.1,-72.5,#bffe28
Calbuco,142.0,-1.8030000000000002,0.042,42.0,-1.8030000000000002,0.042,32.0,Case 6,0.7065532522339572,0.20920016298011268,0.08100022458498203,0.18651855262316414,0.30722290037242994,0.10843974193447674,-0.3437779923375921,0.092319211953447,-1.374,0.035,74.0,-41.33,-72.62,#008000
Yate,37.0,-6.0089999999999995,0.127,9.0,-6.0089999999999995,0.127,5.0,Case 1,0.995318530856796,0.03788019458950952,0.9983145598534714,0.0026847961870805704,0.9146922361914204,0.2769415013487472,0.9128518564542272,0.16662611241835815,-6.105,0.13,14.0,-41.79,-72.4,#0000ff
Apagado,32.0,-1.0,-1.0,-1.0,-6.0089999999999995,0.127,7.0,Case 5,-1.0,-1.0,0.9669521733786206,0.013724075572887084,-1.0,-1.0,-1.0,-1.0,,,,-41.88,-72.59,#87cefa
Hornopirén,20.0,-1.0190000000000001,0.036000000000000004,10.0,-1.0,-1.0,-1.0,Case 8.2,0.16582707574546074,0.011411912060651291,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,-41.88,-72.43,#00008b
Huequi,11.0,-2.465,0.055,8.0,-2.465,0.055,3.0,Case 1,0.6753560197412314,0.02516298400495064,0.9830212974923208,0.002878259273494866,0.6674263243307769,0.05676443706419777,0.978630937977918,0.03474919988845518,-2.605,0.057,11.0,-42.38,-72.58,#6a5acd
Michinmahuida,369.0,-5.846,0.133,3.0,-5.846,0.133,6.0,Case 7,0.9957680967753688,0.004648916847698318,0.32084411317725914,1.5276117721851226,0.9707265747848364,0.10353428020977204,0.3078703072466036,0.5093776422840535,-5.296,0.12300000000000001,9.0,-42.8,-72.45,#40e0d0
Chaitén,985.0,-1.0,-1.0,-1.0,-5.846,0.133,6.0,Case 5,-1.0,-1.0,0.5876196339408483,0.01652812533218571,-1.0,-1.0,-1.0,-1.0,,,,-42.84,-72.65,#008080
Corcovado,4.0,-5.502999999999999,0.11699999999999999,4.0,-1.0,-1.0,-1.0,Case 4,0.9872898998654344,0.0021207672576617504,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,-43.19,-72.79,#fa2a55
Yanteles,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Case 0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,-43.5,-72.8,#ffff00
Melimoyu,346.0,-2.064,0.063,3.0,-2.064,0.063,16.0,Case 3,0.9339764569200826,0.0032600086998738364,0.9078519471798032,0.6662488877042427,0.4409665371524261,0.09592200352675276,0.7484075338199988,0.3371816969214949,-4.203,0.10099999999999999,19.0,-44.08,-72.86,#80f9ad
Mentolat,51.0,-2.5469999999999997,0.057,5.0,-1.0,-1.0,-1.0,Case 4,0.939195890796851,0.009384335170199041,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,-44.7,-73.08,#ee82ee
Cay,17.0,-3.548,0.084,8.0,-1.0,-1.0,-1.0,Case 4,0.9487981345924292,0.084402212307012,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,-45.06,-72.99,#0a5f38
Macá,15.0,-8.588,0.17800000000000002,4.0,-1.0,-1.0,-1.0,Case 4,0.8813421958356509,0.042931994450632005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,-45.11,-73.17,#01b44c
Hudson,742.0,-4.562,0.111,8.0,-4.562,0.111,63.0,Case 3,0.7635118812694169,0.39538378574814986,0.9117404268980842,1.6806654087316948,0.7250040338942115,0.23973030205817564,0.8396520752613064,0.22015123017632607,-5.598,0.13,71.0,-45.9,-72.97,#ad03de
Lautaro,38.0,-1.0,-1.0,-1.0,-4.562,0.111,14.0,Case 5,-1.0,-1.0,0.817043258262629,0.11798021886835175,-1.0,-1.0,-1.0,-1.0,,,,-49.01,-73.5,#d2691e
Viedma,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Case 0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,-49.36,-73.27,#4682b4
Aguilera,32.0,-1.0,-1.0,-1.0,-4.562,0.111,4.0,Case 5,-1.0,-1.0,0.8282075000780902,0.010256162236243812,-1.0,-1.0,-1.0,-1.0,,,,-50.33,-73.75,#f08080
Reclus,132.0,-5.9110000000000005,0.113,4.0,-5.9110000000000005,0.113,4.0,Case 6,0.7907655570115655,0.0020562370505422573,0.7045516339592716,0.0069939486053450855,-19.331891760593816,0.2235007065446552,-6.110915324349015,0.20514133619105204,-1.565,0.047,8.0,-50.96,-73.58,#da70d6
Monte Burney,370.0,-1.0,-1.0,-1.0,-5.9110000000000005,0.113,4.0,Case 5,-1.0,-1.0,0.8684720034675664,0.007614469129083895,-1.0,-1.0,-1.0,-1.0,,,,-52.33,-73.38,#bc8f8f
